item,sample,metadata_extract,linecut_qr
C67_GD2-69-8_th0.110_1968.1s_T199.998C_5.00s_61291_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":1968.1,""theta"":0.11,""sequence_ID"":61291.0,""annealing_temperature"":199.998},""time"":1.5084270524295843e+09}",
C67_GD2-69-8_th0.110_2029.1s_T199.998C_5.00s_61296_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":2029.1,""theta"":0.11,""sequence_ID"":61296.0,""annealing_temperature"":199.998},""time"":1.5084270524354606e+09}",
C67_GD2-69-8_th0.110_2087.1s_T199.997C_5.00s_61301_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":2087.1,""theta"":0.11,""sequence_ID"":61301.0,""annealing_temperature"":199.997},""time"":1.508427052441274e+09}",
C67_GD2-69-8_th0.110_2148.1s_T199.998C_5.00s_61306_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":2148.1,""theta"":0.11,""sequence_ID"":61306.0,""annealing_temperature"":199.998},""time"":1.5084270524471505e+09}",
C67_GD2-69-8_th0.110_2219.1s_T199.999C_5.00s_61311_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":2219.1,""theta"":0.11,""sequence_ID"":61311.0,""annealing_temperature"":199.999},""time"":1.508427052452985e+09}",
C67_GD2-69-8_th0.110_2280.1s_T199.999C_5.00s_61316_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":2280.1,""theta"":0.11,""sequence_ID"":61316.0,""annealing_temperature"":199.999},""time"":1.5084270524588683e+09}",
C67_GD2-69-8_th0.110_2347.2s_T200.001C_5.00s_61321_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":2347.2,""theta"":0.11,""sequence_ID"":61321.0,""annealing_temperature"":200.001},""time"":1.5084270524647136e+09}",
C67_GD2-69-8_th0.110_2409.2s_T200.000C_5.00s_61326_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":2409.2,""theta"":0.11,""sequence_ID"":61326.0,""annealing_temperature"":200.0},""time"":1.5084270524706485e+09}",
C67_GD2-69-8_th0.110_2476.2s_T199.999C_5.00s_61331_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":2476.2,""theta"":0.11,""sequence_ID"":61331.0,""annealing_temperature"":199.999},""time"":1.5084270524765222e+09}",
C67_GD2-69-8_th0.110_2542.1s_T200.001C_5.00s_61336_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":2542.1,""theta"":0.11,""sequence_ID"":61336.0,""annealing_temperature"":200.001},""time"":1.508427052482475e+09}",
C67_GD2-69-8_th0.110_2606.2s_T199.999C_5.00s_61341_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":2606.2,""theta"":0.11,""sequence_ID"":61341.0,""annealing_temperature"":199.999},""time"":1.5084270524886143e+09}",
C67_GD2-69-8_th0.110_2673.2s_T199.999C_5.00s_61346_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":2673.2,""theta"":0.11,""sequence_ID"":61346.0,""annealing_temperature"":199.999},""time"":1.5084270524946513e+09}",
C67_GD2-69-8_th0.110_2740.2s_T200.000C_5.00s_61351_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":2740.2,""theta"":0.11,""sequence_ID"":61351.0,""annealing_temperature"":200.0},""time"":1.5084270525006044e+09}",
C67_GD2-69-8_th0.110_2802.2s_T200.000C_5.00s_61356_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":2802.2,""theta"":0.11,""sequence_ID"":61356.0,""annealing_temperature"":200.0},""time"":1.508427052506577e+09}",
